,movie,year,imdb,metascore,votes,n_imdb
482,Gangs of New York,2002,7.5,72,363990,75.0
483,28 Days Later...,2002,7.6,73,339619,76.0
484,Signs,2002,6.7,59,307972,67.0
485,Men in Black II,2002,6.1,49,304779,61.0
486,The Ring,2002,7.1,57,292499,71.0
487,Equilibrium,2002,7.5,33,291772,75.0
488,The Transporter,2002,6.8,51,265126,68.0
489,Insomnia,2002,7.2,78,249345,72.0
490,Panic Room,2002,6.8,65,232845,68.0
491,Phone Booth,2002,7.1,56,232843,71.0
492,Red Dragon,2002,7.2,60,227713,72.0
493,Resident Evil,2002,6.7,33,227666,67.0
494,Road to Perdition,2002,7.7,72,224921,77.0
495,8 Mile,2002,7.1,77,223312,71.0
496,Chicago,2002,7.2,82,197433,72.0
497,Die Another Day,2002,6.1,56,188433,61.0
498,A Walk to Remember,2002,7.4,35,185055,74.0
499,Blade II,2002,6.7,52,182680,67.0
500,Austin Powers in Goldmember,2002,6.2,62,180675,62.0
501,Hero,2002,7.9,85,163742,79.0
502,xXx,2002,5.9,48,163600,59.0
503,Adaptation.,2002,7.7,83,162705,77.0
504,25th Hour,2002,7.7,67,161154,77.0
505,About a Boy,2002,7.1,75,158086,71.0
506,Lilo & Stitch,2002,7.2,73,145233,72.0
507,Bowling for Columbine,2002,8.0,72,133421,80.0
508,Punch-Drunk Love,2002,7.3,78,129112,73.0
509,Mr. Deeds,2002,5.8,24,124622,58.0
510,The Scorpion King,2002,5.5,45,120299,55.0
511,We Were Soldiers,2002,7.2,65,118624,72.0
512,Reign of Fire,2002,6.2,39,117954,62.0
513,The Count of Monte Cristo,2002,7.8,61,117934,78.0
514,About Schmidt,2002,7.2,85,116067,72.0
515,The Hours,2002,7.6,80,114719,76.0
516,John Q,2002,7.1,30,113218,71.0
517,My Big Fat Greek Wedding,2002,6.6,62,112150,66.0
518,The Time Machine,2002,5.9,42,111811,59.0
519,Infernal Affairs,2002,8.1,75,109844,81.0
520,The Lord of the Rings: The Two Towers,2002,8.7,87,1312052,87.0
521,Catch Me If You Can,2002,8.1,75,692750,81.0
522,City of God,2002,8.6,79,628995,86.0
523,Spider-Man,2002,7.3,73,625326,73.0
524,The Pianist,2002,8.5,85,620991,85.0
525,Star Wars: Episode II - Attack of the Clones,2002,6.6,54,559914,66.0
526,Harry Potter and the Chamber of Secrets,2002,7.4,63,477932,74.0
527,The Bourne Identity,2002,7.9,68,466910,79.0
528,Minority Report,2002,7.7,80,460445,77.0
529,Ice Age,2002,7.5,60,389322,75.0
530,Gangs of New York,2002,7.5,72,363990,75.0
531,28 Days Later...,2002,7.6,73,339619,76.0
532,Signs,2002,6.7,59,307972,67.0
533,Men in Black II,2002,6.1,49,304779,61.0
534,The Ring,2002,7.1,57,292499,71.0
535,Equilibrium,2002,7.5,33,291772,75.0
536,The Transporter,2002,6.8,51,265126,68.0
537,Insomnia,2002,7.2,78,249345,72.0
538,Panic Room,2002,6.8,65,232845,68.0
539,Phone Booth,2002,7.1,56,232843,71.0
540,Red Dragon,2002,7.2,60,227713,72.0
541,Resident Evil,2002,6.7,33,227666,67.0
542,Road to Perdition,2002,7.7,72,224921,77.0
543,8 Mile,2002,7.1,77,223312,71.0
544,Chicago,2002,7.2,82,197433,72.0
545,Die Another Day,2002,6.1,56,188433,61.0
546,A Walk to Remember,2002,7.4,35,185055,74.0
547,Blade II,2002,6.7,52,182680,67.0
548,Austin Powers in Goldmember,2002,6.2,62,180675,62.0
549,Hero,2002,7.9,85,163742,79.0
550,xXx,2002,5.9,48,163600,59.0
551,Adaptation.,2002,7.7,83,162705,77.0
552,25th Hour,2002,7.7,67,161154,77.0
553,About a Boy,2002,7.1,75,158086,71.0
554,Lilo & Stitch,2002,7.2,73,145233,72.0
555,Bowling for Columbine,2002,8.0,72,133421,80.0
556,Punch-Drunk Love,2002,7.3,78,129112,73.0
557,Mr. Deeds,2002,5.8,24,124622,58.0
558,The Scorpion King,2002,5.5,45,120299,55.0
559,We Were Soldiers,2002,7.2,65,118624,72.0
560,Reign of Fire,2002,6.2,39,117954,62.0
561,The Count of Monte Cristo,2002,7.8,61,117934,78.0
562,About Schmidt,2002,7.2,85,116067,72.0
563,The Hours,2002,7.6,80,114719,76.0
564,John Q,2002,7.1,30,113218,71.0
565,My Big Fat Greek Wedding,2002,6.6,62,112150,66.0
566,The Time Machine,2002,5.9,42,111811,59.0
567,Infernal Affairs,2002,8.1,75,109844,81.0
568,The Lord of the Rings: The Return of the King,2003,8.9,94,1451143,89.0
569,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,63,946148,80.0
570,Kill Bill: Vol. 1,2003,8.1,69,881131,81.0
571,Finding Nemo,2003,8.1,90,844783,81.0
572,X-Men 2,2003,7.5,68,469974,75.0
573,The Matrix Reloaded,2003,7.2,62,469546,72.0
574,Oldboy,2003,8.4,74,444989,84.0
575,The Matrix Revolutions,2003,6.7,47,407522,67.0
576,Big Fish,2003,8.0,58,384588,80.0
577,Mystic River,2003,8.0,84,382092,80.0
578,Love Actually,2003,7.6,55,379199,76.0
579,Lost in Translation,2003,7.8,89,367099,78.0
580,The Last Samurai,2003,7.7,55,363022,77.0
581,Terminator 3: Rise of the Machines,2003,6.3,66,343163,63.0
582,Bruce Almighty,2003,6.7,46,339398,67.0
583,The Italian Job,2003,7.0,68,317199,70.0
584,School of Rock,2003,7.1,82,238815,71.0
585,Underworld,2003,7.0,42,235778,70.0
586,Hulk,2003,5.7,54,235540,57.0
587,2 Fast 2 Furious,2003,5.9,38,225628,59.0
588,21 Grams,2003,7.7,70,209890,77.0
589,Identity,2003,7.3,64,205490,73.0
590,Bad Boys II,2003,6.6,38,202552,66.0
591,Old School,2003,7.1,54,201181,71.0
592,Daredevil,2003,5.3,42,194875,53.0
593,Anger Management,2003,6.2,52,188756,62.0
594,Elf,2003,6.9,64,187248,69.0
595,Master and Commander: The Far Side of the World,2003,7.4,81,186848,74.0
596,How to Lose a Guy in 10 Days,2003,6.4,45,186245,64.0
597,American Wedding,2003,6.3,43,179568,63.0
598,The League of Extraordinary Gentlemen,2003,5.8,30,155103,58.0
599,Once Upon a Time in Mexico,2003,6.4,56,143160,64.0
600,Final Destination 2,2003,6.2,38,137225,62.0
601,Johnny English,2003,6.2,51,132605,62.0
602,Cold Mountain,2003,7.2,73,130276,72.0
603,S.W.A.T.,2003,6.0,45,129831,60.0
604,Good Bye Lenin!,2003,7.7,68,127441,77.0
605,Bad Santa,2003,7.1,70,126052,71.0
606,Scary Movie 3,2003,5.5,49,125827,55.0
607,Dogville,2003,8.0,60,123387,80.0
608,The Recruit,2003,6.6,56,122948,66.0
609,Monster,2003,7.3,74,122169,73.0
610,The Texas Chainsaw Massacre,2003,6.2,38,120927,62.0
611,Lara Croft Tomb Raider: The Cradle of Life,2003,5.5,43,119602,55.0
612,Matchstick Men,2003,7.3,61,116641,73.0
613,Freaky Friday,2003,6.2,70,112825,62.0
614,Charlie's Angels: Full Throttle,2003,4.9,48,110982,49.0
615,The Lord of the Rings: The Return of the King,2003,8.9,94,1451143,89.0
616,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,63,946148,80.0
617,Kill Bill: Vol. 1,2003,8.1,69,881131,81.0
618,Finding Nemo,2003,8.1,90,844783,81.0
619,X-Men 2,2003,7.5,68,469974,75.0
620,The Matrix Reloaded,2003,7.2,62,469546,72.0
621,Oldboy,2003,8.4,74,444989,84.0
622,The Matrix Revolutions,2003,6.7,47,407522,67.0
623,Big Fish,2003,8.0,58,384588,80.0
624,Mystic River,2003,8.0,84,382092,80.0
625,Love Actually,2003,7.6,55,379199,76.0
626,Lost in Translation,2003,7.8,89,367099,78.0
627,The Last Samurai,2003,7.7,55,363022,77.0
628,Terminator 3: Rise of the Machines,2003,6.3,66,343163,63.0
629,Bruce Almighty,2003,6.7,46,339398,67.0
630,The Italian Job,2003,7.0,68,317199,70.0
631,School of Rock,2003,7.1,82,238815,71.0
632,Underworld,2003,7.0,42,235778,70.0
633,Hulk,2003,5.7,54,235540,57.0
634,2 Fast 2 Furious,2003,5.9,38,225628,59.0
635,21 Grams,2003,7.7,70,209890,77.0
636,Identity,2003,7.3,64,205490,73.0
637,Bad Boys II,2003,6.6,38,202552,66.0
638,Old School,2003,7.1,54,201181,71.0
639,Daredevil,2003,5.3,42,194875,53.0
640,Anger Management,2003,6.2,52,188756,62.0
641,Elf,2003,6.9,64,187248,69.0
642,Master and Commander: The Far Side of the World,2003,7.4,81,186848,74.0
643,How to Lose a Guy in 10 Days,2003,6.4,45,186245,64.0
644,American Wedding,2003,6.3,43,179568,63.0
645,The League of Extraordinary Gentlemen,2003,5.8,30,155103,58.0
646,Once Upon a Time in Mexico,2003,6.4,56,143160,64.0
647,Final Destination 2,2003,6.2,38,137225,62.0
648,Johnny English,2003,6.2,51,132605,62.0
649,Cold Mountain,2003,7.2,73,130276,72.0
650,S.W.A.T.,2003,6.0,45,129831,60.0
651,Good Bye Lenin!,2003,7.7,68,127441,77.0
652,Bad Santa,2003,7.1,70,126052,71.0
653,Scary Movie 3,2003,5.5,49,125827,55.0
654,Dogville,2003,8.0,60,123387,80.0
655,The Recruit,2003,6.6,56,122948,66.0
656,Monster,2003,7.3,74,122169,73.0
657,The Texas Chainsaw Massacre,2003,6.2,38,120927,62.0
658,Lara Croft Tomb Raider: The Cradle of Life,2003,5.5,43,119602,55.0
659,Matchstick Men,2003,7.3,61,116641,73.0
660,Freaky Friday,2003,6.2,70,112825,62.0
661,Charlie's Angels: Full Throttle,2003,4.9,48,110982,49.0
662,The Lord of the Rings: The Return of the King,2003,8.9,94,1451143,89.0
663,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,63,946148,80.0
664,Kill Bill: Vol. 1,2003,8.1,69,881131,81.0
665,Finding Nemo,2003,8.1,90,844783,81.0
666,X-Men 2,2003,7.5,68,469974,75.0
667,The Matrix Reloaded,2003,7.2,62,469546,72.0
668,Oldboy,2003,8.4,74,444989,84.0
669,The Matrix Revolutions,2003,6.7,47,407522,67.0
670,Big Fish,2003,8.0,58,384588,80.0
671,Mystic River,2003,8.0,84,382092,80.0
672,Love Actually,2003,7.6,55,379199,76.0
673,Lost in Translation,2003,7.8,89,367099,78.0
674,The Last Samurai,2003,7.7,55,363022,77.0
675,Terminator 3: Rise of the Machines,2003,6.3,66,343163,63.0
676,Bruce Almighty,2003,6.7,46,339398,67.0
677,The Italian Job,2003,7.0,68,317199,70.0
678,School of Rock,2003,7.1,82,238815,71.0
679,Underworld,2003,7.0,42,235778,70.0
680,Hulk,2003,5.7,54,235540,57.0
681,2 Fast 2 Furious,2003,5.9,38,225628,59.0
682,21 Grams,2003,7.7,70,209890,77.0
683,Identity,2003,7.3,64,205490,73.0
684,Bad Boys II,2003,6.6,38,202552,66.0
685,Old School,2003,7.1,54,201181,71.0
686,Daredevil,2003,5.3,42,194875,53.0
687,Anger Management,2003,6.2,52,188756,62.0
688,Elf,2003,6.9,64,187248,69.0
689,Master and Commander: The Far Side of the World,2003,7.4,81,186848,74.0
690,How to Lose a Guy in 10 Days,2003,6.4,45,186245,64.0
691,American Wedding,2003,6.3,43,179568,63.0
692,The League of Extraordinary Gentlemen,2003,5.8,30,155103,58.0
693,Once Upon a Time in Mexico,2003,6.4,56,143160,64.0
694,Final Destination 2,2003,6.2,38,137225,62.0
695,Johnny English,2003,6.2,51,132605,62.0
696,Cold Mountain,2003,7.2,73,130276,72.0
697,S.W.A.T.,2003,6.0,45,129831,60.0
698,Good Bye Lenin!,2003,7.7,68,127441,77.0
699,Bad Santa,2003,7.1,70,126052,71.0
700,Scary Movie 3,2003,5.5,49,125827,55.0
701,Dogville,2003,8.0,60,123387,80.0
702,The Recruit,2003,6.6,56,122948,66.0
703,Monster,2003,7.3,74,122169,73.0
704,The Texas Chainsaw Massacre,2003,6.2,38,120927,62.0
705,Lara Croft Tomb Raider: The Cradle of Life,2003,5.5,43,119602,55.0
706,Matchstick Men,2003,7.3,61,116641,73.0
707,Freaky Friday,2003,6.2,70,112825,62.0
708,Charlie's Angels: Full Throttle,2003,4.9,48,110982,49.0
709,The Lord of the Rings: The Return of the King,2003,8.9,94,1451143,89.0
710,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,63,946148,80.0
711,Kill Bill: Vol. 1,2003,8.1,69,881131,81.0
712,Finding Nemo,2003,8.1,90,844783,81.0
713,X-Men 2,2003,7.5,68,469974,75.0
714,The Matrix Reloaded,2003,7.2,62,469546,72.0
715,Oldboy,2003,8.4,74,444989,84.0
716,The Matrix Revolutions,2003,6.7,47,407522,67.0
717,Big Fish,2003,8.0,58,384588,80.0
718,Mystic River,2003,8.0,84,382092,80.0
719,Love Actually,2003,7.6,55,379199,76.0
720,Lost in Translation,2003,7.8,89,367099,78.0
721,The Last Samurai,2003,7.7,55,363022,77.0
722,Terminator 3: Rise of the Machines,2003,6.3,66,343163,63.0
723,Bruce Almighty,2003,6.7,46,339398,67.0
724,The Italian Job,2003,7.0,68,317199,70.0
725,School of Rock,2003,7.1,82,238815,71.0
726,Underworld,2003,7.0,42,235778,70.0
727,Hulk,2003,5.7,54,235540,57.0
728,2 Fast 2 Furious,2003,5.9,38,225628,59.0
729,21 Grams,2003,7.7,70,209890,77.0
730,Identity,2003,7.3,64,205490,73.0
731,Bad Boys II,2003,6.6,38,202552,66.0
732,Old School,2003,7.1,54,201181,71.0
733,Daredevil,2003,5.3,42,194875,53.0
734,Anger Management,2003,6.2,52,188756,62.0
735,Elf,2003,6.9,64,187248,69.0
736,Master and Commander: The Far Side of the World,2003,7.4,81,186848,74.0
737,How to Lose a Guy in 10 Days,2003,6.4,45,186245,64.0
738,American Wedding,2003,6.3,43,179568,63.0
739,The League of Extraordinary Gentlemen,2003,5.8,30,155103,58.0
740,Once Upon a Time in Mexico,2003,6.4,56,143160,64.0
741,Final Destination 2,2003,6.2,38,137225,62.0
742,Johnny English,2003,6.2,51,132605,62.0
743,Cold Mountain,2003,7.2,73,130276,72.0
744,S.W.A.T.,2003,6.0,45,129831,60.0
745,Good Bye Lenin!,2003,7.7,68,127441,77.0
746,Bad Santa,2003,7.1,70,126052,71.0
747,Scary Movie 3,2003,5.5,49,125827,55.0
748,Dogville,2003,8.0,60,123387,80.0
749,The Recruit,2003,6.6,56,122948,66.0
750,Monster,2003,7.3,74,122169,73.0
751,The Texas Chainsaw Massacre,2003,6.2,38,120927,62.0
752,Lara Croft Tomb Raider: The Cradle of Life,2003,5.5,43,119602,55.0
753,Matchstick Men,2003,7.3,61,116641,73.0
754,Freaky Friday,2003,6.2,70,112825,62.0
755,Charlie's Angels: Full Throttle,2003,4.9,48,110982,49.0
756,Eternal Sunshine of the Spotless Mind,2004,8.3,89,803668,83.0
757,Kill Bill: Vol. 2,2004,8.0,83,597866,80.0
758,The Incredibles,2004,8.0,90,581551,80.0
759,Million Dollar Baby,2004,8.1,86,574280,81.0
760,Spider-Man 2,2004,7.3,83,486866,73.0
761,Harry Potter and the Prisoner of Azkaban,2004,7.9,82,473927,79.0
762,The Notebook,2004,7.9,53,461802,79.0
763,Shaun of the Dead,2004,7.9,76,459418,79.0
764,"I, Robot",2004,7.1,59,453570,71.0
765,Troy,2004,7.2,56,441924,72.0
766,The Butterfly Effect,2004,7.7,30,412605,77.0
767,The Bourne Supremacy,2004,7.8,73,400486,78.0
768,Crash,2004,7.8,69,395959,78.0
769,The Day After Tomorrow,2004,6.4,47,377307,64.0
770,Shrek 2,2004,7.2,75,369971,72.0
771,The Terminal,2004,7.3,55,357144,73.0
772,Saw,2004,7.6,46,345524,76.0
773,Collateral,2004,7.5,71,330304,75.0
774,Ocean's Twelve,2004,6.5,58,325436,65.0
775,The Machinist,2004,7.7,61,323908,77.0
776,Hotel Rwanda,2004,8.1,79,307917,81.0
777,Anchorman: The Legend of Ron Burgundy,2004,7.2,63,302904,72.0
778,Man on Fire,2004,7.7,47,301944,77.0
779,The Aviator,2004,7.5,77,301866,75.0
780,50 First Dates,2004,6.8,48,298511,68.0
781,Downfall,2004,8.2,82,297687,82.0
782,Mean Girls,2004,7.0,66,293827,70.0
783,National Treasure,2004,6.9,39,281238,69.0
784,Hellboy,2004,6.9,72,279656,69.0
785,Howl's Moving Castle,2004,8.2,80,274143,82.0
786,Meet the Fockers,2004,6.3,41,234526,63.0
787,Van Helsing,2004,6.1,35,224959,61.0
788,The Village,2004,6.5,44,221600,65.0
789,Dawn of the Dead,2004,7.3,59,217063,73.0
790,Dodgeball: A True Underdog Story,2004,6.7,55,209572,67.0
791,Before Sunset,2004,8.1,90,202238,81.0
792,The Chronicles of Riddick,2004,6.7,38,201660,67.0
793,Garden State,2004,7.5,67,199860,75.0
794,The Passion of the Christ,2004,7.2,47,197771,72.0
795,Finding Neverland,2004,7.7,67,189110,77.0
796,The Girl Next Door,2004,6.7,47,187830,67.0
797,Closer,2004,7.3,65,187424,73.0
798,A Series of Unfortunate Events,2004,6.8,62,181928,68.0
799,Napoleon Dynamite,2004,6.9,64,181004,69.0
800,EuroTrip,2004,6.6,45,180031,66.0
801,Resident Evil: Apocalypse,2004,6.2,35,172487,62.0
802,Harold & Kumar Go to White Castle,2004,7.1,64,170049,71.0
803,AVP: Alien vs. Predator,2004,5.6,29,169752,56.0
804,Eternal Sunshine of the Spotless Mind,2004,8.3,89,803668,83.0
805,Kill Bill: Vol. 2,2004,8.0,83,597866,80.0
806,The Incredibles,2004,8.0,90,581551,80.0
807,Million Dollar Baby,2004,8.1,86,574280,81.0
808,Spider-Man 2,2004,7.3,83,486866,73.0
809,Harry Potter and the Prisoner of Azkaban,2004,7.9,82,473927,79.0
810,The Notebook,2004,7.9,53,461802,79.0
811,Shaun of the Dead,2004,7.9,76,459418,79.0
812,"I, Robot",2004,7.1,59,453570,71.0
813,Troy,2004,7.2,56,441924,72.0
814,The Butterfly Effect,2004,7.7,30,412605,77.0
815,The Bourne Supremacy,2004,7.8,73,400486,78.0
816,Crash,2004,7.8,69,395959,78.0
817,The Day After Tomorrow,2004,6.4,47,377307,64.0
818,Shrek 2,2004,7.2,75,369971,72.0
819,The Terminal,2004,7.3,55,357144,73.0
820,Saw,2004,7.6,46,345524,76.0
821,Collateral,2004,7.5,71,330304,75.0
822,Ocean's Twelve,2004,6.5,58,325436,65.0
823,The Machinist,2004,7.7,61,323908,77.0
824,Hotel Rwanda,2004,8.1,79,307917,81.0
825,Anchorman: The Legend of Ron Burgundy,2004,7.2,63,302904,72.0
826,Man on Fire,2004,7.7,47,301944,77.0
827,The Aviator,2004,7.5,77,301866,75.0
828,50 First Dates,2004,6.8,48,298511,68.0
829,Downfall,2004,8.2,82,297687,82.0
830,Mean Girls,2004,7.0,66,293827,70.0
831,National Treasure,2004,6.9,39,281238,69.0
832,Hellboy,2004,6.9,72,279656,69.0
833,Howl's Moving Castle,2004,8.2,80,274143,82.0
834,Meet the Fockers,2004,6.3,41,234526,63.0
835,Van Helsing,2004,6.1,35,224959,61.0
836,The Village,2004,6.5,44,221600,65.0
837,Dawn of the Dead,2004,7.3,59,217063,73.0
838,Dodgeball: A True Underdog Story,2004,6.7,55,209572,67.0
839,Before Sunset,2004,8.1,90,202238,81.0
840,The Chronicles of Riddick,2004,6.7,38,201660,67.0
841,Garden State,2004,7.5,67,199860,75.0
842,The Passion of the Christ,2004,7.2,47,197771,72.0
843,Finding Neverland,2004,7.7,67,189110,77.0
844,The Girl Next Door,2004,6.7,47,187830,67.0
845,Closer,2004,7.3,65,187424,73.0
846,A Series of Unfortunate Events,2004,6.8,62,181928,68.0
847,Napoleon Dynamite,2004,6.9,64,181004,69.0
848,EuroTrip,2004,6.6,45,180031,66.0
849,Resident Evil: Apocalypse,2004,6.2,35,172487,62.0
850,Harold & Kumar Go to White Castle,2004,7.1,64,170049,71.0
851,AVP: Alien vs. Predator,2004,5.6,29,169752,56.0
852,Eternal Sunshine of the Spotless Mind,2004,8.3,89,803668,83.0
853,Kill Bill: Vol. 2,2004,8.0,83,597866,80.0
854,The Incredibles,2004,8.0,90,581551,80.0
855,Million Dollar Baby,2004,8.1,86,574280,81.0
856,Spider-Man 2,2004,7.3,83,486866,73.0
857,Harry Potter and the Prisoner of Azkaban,2004,7.9,82,473927,79.0
858,The Notebook,2004,7.9,53,461802,79.0
859,Shaun of the Dead,2004,7.9,76,459418,79.0
860,"I, Robot",2004,7.1,59,453570,71.0
861,Troy,2004,7.2,56,441924,72.0
862,The Butterfly Effect,2004,7.7,30,412605,77.0
863,The Bourne Supremacy,2004,7.8,73,400486,78.0
864,Crash,2004,7.8,69,395959,78.0
865,The Day After Tomorrow,2004,6.4,47,377307,64.0
866,Shrek 2,2004,7.2,75,369971,72.0
867,The Terminal,2004,7.3,55,357144,73.0
868,Saw,2004,7.6,46,345524,76.0
869,Collateral,2004,7.5,71,330304,75.0
870,Ocean's Twelve,2004,6.5,58,325436,65.0
871,The Machinist,2004,7.7,61,323908,77.0
872,Hotel Rwanda,2004,8.1,79,307917,81.0
873,Anchorman: The Legend of Ron Burgundy,2004,7.2,63,302904,72.0
874,Man on Fire,2004,7.7,47,301944,77.0
875,The Aviator,2004,7.5,77,301866,75.0
876,50 First Dates,2004,6.8,48,298511,68.0
877,Downfall,2004,8.2,82,297687,82.0
878,Mean Girls,2004,7.0,66,293827,70.0
879,National Treasure,2004,6.9,39,281238,69.0
880,Hellboy,2004,6.9,72,279656,69.0
881,Howl's Moving Castle,2004,8.2,80,274143,82.0
882,Meet the Fockers,2004,6.3,41,234526,63.0
883,Van Helsing,2004,6.1,35,224959,61.0
884,The Village,2004,6.5,44,221600,65.0
885,Dawn of the Dead,2004,7.3,59,217063,73.0
886,Dodgeball: A True Underdog Story,2004,6.7,55,209572,67.0
887,Before Sunset,2004,8.1,90,202238,81.0
888,The Chronicles of Riddick,2004,6.7,38,201660,67.0
889,Garden State,2004,7.5,67,199860,75.0
890,The Passion of the Christ,2004,7.2,47,197771,72.0
891,Finding Neverland,2004,7.7,67,189110,77.0
892,The Girl Next Door,2004,6.7,47,187830,67.0
893,Closer,2004,7.3,65,187424,73.0
894,A Series of Unfortunate Events,2004,6.8,62,181928,68.0
895,Napoleon Dynamite,2004,6.9,64,181004,69.0
896,EuroTrip,2004,6.6,45,180031,66.0
897,Resident Evil: Apocalypse,2004,6.2,35,172487,62.0
898,Harold & Kumar Go to White Castle,2004,7.1,64,170049,71.0
899,AVP: Alien vs. Predator,2004,5.6,29,169752,56.0
900,Eternal Sunshine of the Spotless Mind,2004,8.3,89,803668,83.0
901,Kill Bill: Vol. 2,2004,8.0,83,597866,80.0
902,The Incredibles,2004,8.0,90,581551,80.0
903,Million Dollar Baby,2004,8.1,86,574280,81.0
904,Spider-Man 2,2004,7.3,83,486866,73.0
905,Harry Potter and the Prisoner of Azkaban,2004,7.9,82,473927,79.0
906,The Notebook,2004,7.9,53,461802,79.0
907,Shaun of the Dead,2004,7.9,76,459418,79.0
908,"I, Robot",2004,7.1,59,453570,71.0
909,Troy,2004,7.2,56,441924,72.0
910,The Butterfly Effect,2004,7.7,30,412605,77.0
911,The Bourne Supremacy,2004,7.8,73,400486,78.0
912,Crash,2004,7.8,69,395959,78.0
913,The Day After Tomorrow,2004,6.4,47,377307,64.0
914,Shrek 2,2004,7.2,75,369971,72.0
915,The Terminal,2004,7.3,55,357144,73.0
916,Saw,2004,7.6,46,345524,76.0
917,Collateral,2004,7.5,71,330304,75.0
918,Ocean's Twelve,2004,6.5,58,325436,65.0
919,The Machinist,2004,7.7,61,323908,77.0
920,Hotel Rwanda,2004,8.1,79,307917,81.0
921,Anchorman: The Legend of Ron Burgundy,2004,7.2,63,302904,72.0
922,Man on Fire,2004,7.7,47,301944,77.0
923,The Aviator,2004,7.5,77,301866,75.0
924,50 First Dates,2004,6.8,48,298511,68.0
925,Downfall,2004,8.2,82,297687,82.0
926,Mean Girls,2004,7.0,66,293827,70.0
927,National Treasure,2004,6.9,39,281238,69.0
928,Hellboy,2004,6.9,72,279656,69.0
929,Howl's Moving Castle,2004,8.2,80,274143,82.0
930,Meet the Fockers,2004,6.3,41,234526,63.0
931,Van Helsing,2004,6.1,35,224959,61.0
932,The Village,2004,6.5,44,221600,65.0
933,Dawn of the Dead,2004,7.3,59,217063,73.0
934,Dodgeball: A True Underdog Story,2004,6.7,55,209572,67.0
935,Before Sunset,2004,8.1,90,202238,81.0
936,The Chronicles of Riddick,2004,6.7,38,201660,67.0
937,Garden State,2004,7.5,67,199860,75.0
938,The Passion of the Christ,2004,7.2,47,197771,72.0
939,Finding Neverland,2004,7.7,67,189110,77.0
940,The Girl Next Door,2004,6.7,47,187830,67.0
941,Closer,2004,7.3,65,187424,73.0
942,A Series of Unfortunate Events,2004,6.8,62,181928,68.0
943,Napoleon Dynamite,2004,6.9,64,181004,69.0
944,EuroTrip,2004,6.6,45,180031,66.0
945,Resident Evil: Apocalypse,2004,6.2,35,172487,62.0
946,Harold & Kumar Go to White Castle,2004,7.1,64,170049,71.0
947,AVP: Alien vs. Predator,2004,5.6,29,169752,56.0
